"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Hordeum vulgare distichon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hornungia petraea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Humulus lupulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyacinthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyacinthoides non-scripta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyacinthus orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocotyle sibthorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylotelephium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylotelephium maximum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylotelephium telephium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylotelephium telephium fabaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyoscyamus niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyoseris radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum imberbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum pendulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum","Hypericum maculatum_Hypericum perforatum","4_5","1",3,"6_7",39.710833335,NA,"Pd",0.094433,"10_9","Autumn_Late summer",289.226713
"Hypericum androsaemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum hirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum humifusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum linariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum maculatum","Hypericum maculatum","5","1",2,"7",46.56666667,NA,"",0.04645,"9","Late summer",278
"Hypericum perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum perforatum","Hypericum perforatum","4","1",4,"6",32.855,NA,"Pd",0.142416,"10","Autumn",300.453426
"Hypericum perforatum veronense","Hypericum perforatum","4","1",4,"6",32.855,NA,"Pd",0.142416,"10","Autumn",300.453426
"Hypericum tetrapterum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum triquetrifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris","Hypochaeris radicata","2","1",6,"5",NA,NA,"Nd",0.80475,"11","Autumn",84.78876733
"Hypochaeris achyrophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris radicata","Hypochaeris radicata","2","1",6,"5",NA,NA,"Nd",0.80475,"11","Autumn",84.78876733
"Hyssopus officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iberis amara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iberis pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iberis sempervirens","Iberis sempervirens","","",4,"5",20,NA,"",NA,"9","Late summer",NA
"Ilex aquifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illecebrum verticillatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imbribryum subapiculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impatiens glandulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperata cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inula britannica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inula conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inula conyzae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inula helenium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iris foetidissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iris pseudacorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isatis tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iva xanthiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacobaea","Jacobaea vulgaris","4","1",5,"6",150,NA,"Nd",0.27,"11","Autumn",32.77
"Jacobaea aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacobaea erucifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacobaea vulgaris","Jacobaea vulgaris","4","1",5,"6",150,NA,"Nd",0.27,"11","Autumn",32.77
"Jacobaea vulgaris vulgaris","Jacobaea vulgaris","4","1",5,"6",150,NA,"Nd",0.27,"11","Autumn",32.77
"Jasione",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasione maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasione montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglans nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglans regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus","Juncus acutiflorus","5","1",4,"5",90,NA,"",0.0182,"9","Late summer",150.9
"Juncus acutiflorus","Juncus acutiflorus","5","1",4,"5",90,NA,"",0.0182,"9","Late summer",150.9
"Juncus articulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus bufonius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus capitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus conglomeratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus effusus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus filiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus inflexus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juniperus oxycedrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kandis perfoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kernera saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kickxia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kickxia commutata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kickxia elatine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kickxia elatine elatine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kickxia spuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knautia","Knautia arvensis_Knautia purpurea","","0",4.5,"5_6",49.333333335,1,"Pd",3.606240909,"11_9","Autumn_Late summer",160.6
"Knautia arvensis","Knautia arvensis","","0",6,"5",48.66666667,1,"Pd",3.606240909,"11","Autumn",160.6
"Knautia collina","Knautia purpurea","","",3,"6",50,NA,"",NA,"9","Late summer",NA
"Knautia integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koeleria vallesiana","Koeleria vallesiana","4","1",3,"5",25,NA,"",0.51,"8","Late summer",NA
"Krubera peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca muralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca perennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca saligna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca serriola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca viminea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagurus ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium album",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium album album",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium amplexicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium galeobdolon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium hybridum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium purpureum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laphangium luteoalbum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lappula squarrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapsana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapsana communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapsana communis communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larix decidua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lasiospora hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus","Lathyrus pratensis","5","1",3,"5",51.475,NA,"Py",14.31651111,"8","Late summer",259.4990497
"Lathyrus angulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus aphaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus cicera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus clymenum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus hirsutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus inconspicuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus latifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus linifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus niger niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus nissolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus ochrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus odoratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus oleraceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus pratensis","Lathyrus pratensis","5","1",3,"5",51.475,NA,"Py",14.31651111,"8","Late summer",259.4990497
"Lathyrus sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus setifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus sphaericus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lathyrus tuberosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurus nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lavandula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lavatera thuringiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leersia oryzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legousia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legousia falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legousia hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legousia speculum-veneris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemna minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemna trisulca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontodon","Leontodon hispidus","3","1",5,"6",33.33333333,NA,"Nd",1.108383333,"11","Autumn",321.008555
"Leontodon hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontodon hispidus","Leontodon hispidus","3","1",5,"6",33.33333333,NA,"Nd",1.108383333,"11","Autumn",321.008555
"Leontodon hispidus hispidus","Leontodon hispidus","3","1",5,"6",33.33333333,NA,"Nd",1.108383333,"11","Autumn",321.008555
"Leontodon saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontodon saxatilis rothii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontodon saxatilis saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontodon taraxacoides taraxacoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium campestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium coronopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium densiflorum densiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium didymum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium draba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium graminifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium latifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium ruderale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucanthemum","Leucanthemum ircutianum_Leucanthemum vulgare","4","1",5.5,"5",51,NA,"",0.489095,"11","Autumn",99.20587335
"Leucanthemum ircutianum","Leucanthemum ircutianum","4","1",5,"5",47,NA,"",0.6,"11","Autumn",29.59
"Leucanthemum superbum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucanthemum vulgare","Leucanthemum vulgare","4","1",6,"5",55,NA,"",0.37819,"11","Autumn",168.8217467
"Ligustrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ligustrum lucidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ligustrum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liliaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lilium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria","Linaria purpurea","","0",7,"4",30,NA,"Pd",0.154,"11","Autumn",13.2
"Linaria amethystea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria angustissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria chalepensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria pelisseriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria purpurea","Linaria purpurea","","0",7,"4",30,NA,"Pd",0.154,"11","Autumn",13.2
"Linaria reflexa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria supina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linaria vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia dubia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum","Linum catharticum_Linum tenuifolium","","0",3.5,"5_6",14.541666665,0.3,"Pd",1.307869565,"9","Late summer",144.18168725
"Linum bienne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum catharticum","Linum catharticum","","0",4,"5",14.08333333,NA,"Pd",0.14573913,"9","Late summer",270.6633745
"Linum leonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum narbonense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum perenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum strictum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linum tenuifolium","Linum tenuifolium","","0",3,"6",15,0.3,"",2.47,"9","Late summer",17.7
"Linum usitatissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipandra polysperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithospermum arvense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lobularia maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logfia gallica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium","Lolium perenne","4","1",6,"5",32.99541667,NA,"Py",2.027083333,"11","Autumn",197.0138774
"Lolium arundinaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium arundinaceum arundinaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium boucheanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium giganteum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium multiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium perenne","Lolium perenne","4","1",6,"5",32.99541667,NA,"Py",2.027083333,"11","Autumn",197.0138774
"Lolium pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium remotum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium rigidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium temulentum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loncomelos narbonense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loncomelos pyrenaicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera periclymenum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera xylosteum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus","Dorycnium pentaphyllum_Lotus corniculatus_Lotus pedunculatus","","0",4,"4_5",18.3215686266667,0.6,"Py",1.55019047633333,"10_7_9","Autumn_Late summer_Summer",196.00754959
"Lotus angustissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus castellanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus corniculatus","Lotus corniculatus","","0",5,"5",23.46470588,0.6,"Py",1.348,"10","Autumn",244.4586566
"Lotus corniculatus corniculatus","Lotus corniculatus","","0",5,"5",23.46470588,0.6,"Py",1.348,"10","Autumn",244.4586566
"Lotus dorycnium","Dorycnium pentaphyllum","","0",3,"4",16.5,NA,"Py",2.725,"7","Summer",74.36399217
"Lotus edulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus hirsutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus hispidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus maritimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus ornithopodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus parviflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus pedunculatus","Lotus pedunculatus","","0",4,"5",15,NA,"Py",0.577571429,"9","Late summer",269.2
"Lotus rectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lunaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lunaria annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus albus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus angustifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus angustifolius reticulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus luteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzula","Luzula campestris_Luzula multiflora","4","1",3.5,"4",20.113033335,NA,"Pd",0.61818,"7_8","Late summer_Summer",220.38215285
"Luzula campestris","Luzula campestris","4","1",4,"4",17.06666667,NA,"Pd",0.75996,"8","Late summer",263.3333333
"Luzula multiflora","Luzula multiflora","4","1",3,"4",23.1594,NA,"Pd",0.4764,"7","Summer",177.4309724
"Luzula multiflora multiflora","Luzula multiflora","4","1",3,"4",23.1594,NA,"Pd",0.4764,"7","Summer",177.4309724
"Lycopus europaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia","Lysimachia nummularia","5","1",4,"5",43.33333333,0.2,"",0.5,"9","Late summer",327.3
"Lysimachia arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia foemina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia loeflingii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia nummularia","Lysimachia nummularia","5","1",4,"5",43.33333333,0.2,"",0.5,"9","Late summer",327.3
"Lysimachia punctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum acutangulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum borysthenicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum salicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum virgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malus domestica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malus sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva alcea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva cretica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva nicaeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva olbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva punctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva setigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva thuringiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mantisalca salmantica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marchantia polymorpha ruderalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus-kochia littorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marrubium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marrubium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matricaria chamomilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
