"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Arundo plinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asclepias syriaca",NA,NA,NA,NA,NA,NA,"Asclepias syriaca","","","","",11.5,NA,3.53433333333333,7.28333333333333,""
"Asparagaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus","Asparagus officinalis",0.65,"",NA,"",NA,"Asparagus officinalis","","","","",NA,NA,18.25,3.5,""
"Asparagus acutifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus officinalis","Asparagus officinalis",0.65,"",NA,"",NA,"Asparagus officinalis","","","","",NA,NA,18.25,3.5,""
"Asparagus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperugo procumbens",NA,NA,NA,NA,NA,NA,"Asperugo procumbens","","","","",NA,NA,NA,NA,""
"Asperula aristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperula arvensis",NA,NA,NA,NA,NA,NA,"Asperula arvensis","","","","",NA,NA,NA,NA,""
"Asperula cynanchica","Asperula cynanchica",0.366666666666667,"",0.75,"",1.6,"Asperula cynanchica","","","","",21.5,NA,NA,NA,""
"Asphodelus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asphodelus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus","Astragalus glycyphyllos",0.65,"",0.75,"",4.54,"Astragalus cicer_Astragalus glycyphyllos","","","","",7.5,NA,4.39983333333333,2.69333333333333,""
"Astragalus boeticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus cicer",NA,NA,NA,NA,NA,NA,"Astragalus cicer","","","","",11.5,NA,3.67433333333333,2.66666666666667,""
"Astragalus glycyphyllos","Astragalus glycyphyllos",0.65,"",0.75,"",4.54,"Astragalus glycyphyllos","","","","",3.5,NA,5.12533333333333,2.72,""
"Astragalus hamosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atocion armeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex","Atriplex laciniata_Atriplex littoralis_Atriplex patula_Atriplex prostrata",1.075,"",NA,"",7.91333333333333,"Atriplex calotheca_Atriplex hortensis_Atriplex littoralis_Atriplex oblongifolia_Atriplex patula_Atriplex prostrata_Atriplex sagittata_Atriplex tatarica","","","","",NA,NA,1.87922222222222,2.07337962962963,""
"Atriplex calotheca",NA,NA,NA,NA,NA,NA,"Atriplex calotheca","","","","",NA,NA,0.86,1.89111111111111,""
"Atriplex halimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex hortensis",NA,NA,NA,NA,NA,NA,"Atriplex hortensis","","","","",NA,NA,2.49683333333333,2.41083333333333,""
"Atriplex littoralis","Atriplex littoralis",1,"",NA,"",NA,"Atriplex littoralis","","","","",NA,NA,1.206,1.90166666666667,""
"Atriplex oblongifolia",NA,NA,NA,NA,NA,NA,"Atriplex oblongifolia","","","","",NA,NA,NA,NA,""
"Atriplex patula","Atriplex patula",1.5,"",NA,"",1.48,"Atriplex patula","","","","",NA,NA,3.14966666666667,2.11166666666667,""
"Atriplex prostrata","Atriplex prostrata",1.5,"",NA,"",0.86,"Atriplex prostrata","","","","",NA,NA,0.737333333333333,1.83666666666667,""
"Atriplex sagittata",NA,NA,NA,NA,NA,NA,"Atriplex sagittata","","","","",NA,NA,2.8255,2.28833333333333,""
"Atriplex tatarica","Atriplex laciniata",0.3,"",NA,"",21.4,"Atriplex tatarica","","","","",NA,NA,NA,NA,""
"Avena","Avena fatua_Avena sterilis",0.65,"",NA,"",14.1,"Avena fatua_Avena sativa_Avena sterilis","","","","",NA,NA,NA,NA,""
"Avena barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena fatua","Avena fatua",0.65,"",NA,"",14.1,"Avena fatua","","","","",NA,NA,NA,NA,""
"Avena fatua subsp. fatua","Avena fatua",0.65,"",NA,"",14.1,"Avena fatua","","","","",NA,NA,NA,NA,""
"Avena sativa",NA,NA,NA,NA,NA,NA,"Avena sativa","","","","",NA,NA,NA,NA,""
"Avena sativa subsp. sativa",NA,NA,NA,NA,NA,NA,"Avena sativa","","","","",NA,NA,NA,NA,""
"Avena sterilis","Avena sterilis",0.65,"",NA,"",NA,"Avena sterilis","","","","",NA,NA,NA,NA,""
"Avena sterilis subsp. ludoviciana","Avena sterilis",0.65,"",NA,"",NA,"Avena sterilis","","","","",NA,NA,NA,NA,""
"Avena strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avenella flexuosa","Deschampsia flexuosa",0.533333333333333,"",0.75,"",0.43,"Deschampsia flexuosa","","","","",NA,NA,NA,NA,""
"Avenula pubescens","Helictotrichon pubescens",0.675,"",0.05,"",2.1,"Helictotrichon pubescens","","","","",NA,NA,NA,NA,""
"Ballota nigra","Ballota nigra",0.7,"",1.5,"",0.98,"Ballota nigra","","","","",11.5,NA,NA,NA,""
"Barbarea","Barbarea intermedia_Barbarea stricta_Barbarea vulgaris",0.59,"",NA,"",0.5,"Barbarea intermedia_Barbarea stricta_Barbarea vulgaris","","","","",18.5,NA,0.585166666666667,1.68333333333333,""
"Barbarea intermedia","Barbarea intermedia",0.45,"",NA,"",NA,"Barbarea intermedia","","","","",18.5,NA,NA,2,""
"Barbarea stricta","Barbarea stricta",0.8,"",NA,"",NA,"Barbarea stricta","","","","",NA,NA,0.381666666666667,1.49666666666667,""
"Barbarea vulgaris","Barbarea vulgaris",0.52,"",NA,"",0.5,"Barbarea vulgaris","","","","",18.5,NA,0.788666666666667,1.55333333333333,""
"Bassia",NA,NA,NA,NA,NA,NA,"Bassia scoparia","","","","",NA,NA,1.147,1.75666666666667,""
"Bassia scoparia",NA,NA,NA,NA,NA,NA,"Bassia scoparia","","","","",NA,NA,1.147,1.75666666666667,""
"Bellardia trixago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellardia viscosa","Parentucellia viscosa",0.233333333333333,"",NA,"",0.021,"Parentucellia viscosa","","","","",3.5,NA,NA,NA,""
"Bellevalia trifoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellis perennis","Bellis perennis",0.1175,"",NA,"",0.09,"Bellis perennis","","","","",16.5,NA,NA,NA,""
"Bellis sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berteroa incana",NA,NA,NA,NA,NA,NA,"Berteroa incana","","","","",3.5,NA,0.739,1.74666666666667,""
"Berula erecta","Berula erecta",0.65,"",NA,"",NA,"Berula erecta","","","","",NA,NA,NA,NA,""
"Beta","Beta vulgaris",2,"",NA,"",NA,"Beta vulgaris","","","","",NA,NA,NA,1.96666666666667,""
"Beta vulgaris","Beta vulgaris",2,"",NA,"",NA,"Beta vulgaris","","","","",NA,NA,NA,1.96666666666667,""
"Beta vulgaris subsp. maritima","Beta vulgaris",2,"",NA,"",NA,"Beta vulgaris","","","","",NA,NA,NA,1.96666666666667,""
"Beta vulgaris subsp. vulgaris","Beta vulgaris",2,"",NA,"",NA,"Beta vulgaris","","","","",NA,NA,NA,1.96666666666667,""
"Betonica alopecuros",NA,NA,NA,NA,NA,NA,"Stachys alopecuros","","","","",NA,NA,NA,NA,""
"Betonica officinalis","Stachys officinalis",0.375,"",NA,"",1.37,"Stachys officinalis","","","","",21.5,NA,NA,NA,""
"Betula","Betula pendula_Betula pubescens",25,"",NA,"",0.210833333333333,"Betula pendula_Betula pubescens","","","","",NA,NA,NA,NA,""
"Betula pendula","Betula pendula",27.5,"",NA,"",0.15,"Betula pendula","","","","",NA,NA,NA,NA,""
"Betula pubescens","Betula pubescens",22.5,"",NA,"",0.271666666666667,"Betula pubescens","","","","",NA,NA,NA,NA,""
"Bidens","Bidens tripartita",0.562,"",NA,"",2.61,"Bidens tripartita","","","","",3.5,NA,NA,NA,""
"Bidens bipinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens subalternans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens tripartita","Bidens tripartita",0.562,"",NA,"",2.61,"Bidens tripartita","","","","",3.5,NA,NA,NA,""
"Bifora radians",NA,NA,NA,NA,NA,NA,"Bifora radians","","","","",NA,NA,NA,NA,""
"Bifora testiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biscutella auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biserrula pelecinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bistorta officinalis","Bistorta officinalis",0.375,"",NA,"",NA,"Bistorta officinalis","","","","",3.5,NA,NA,NA,""
"Bituminaria bituminosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata","Blackstonia perfoliata",0.25,"",0.3,"",0.011,"Blackstonia perfoliata","","","","",NA,NA,0.00866666666666667,0.353333333333333,""
"Blackstonia perfoliata subsp. perfoliata","Blackstonia perfoliata",0.25,"",0.3,"",0.011,"Blackstonia perfoliata","","","","",NA,NA,0.00866666666666667,0.353333333333333,""
"Bolboschoenus maritimus","Bolboschoenus maritimus",0.65,"",NA,"",NA,"Bolboschoenus maritimus","","","","",NA,NA,NA,NA,""
"Bombycilaena erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boraginaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borago officinalis",NA,NA,NA,NA,NA,NA,"Borago officinalis","","","","",54.75,NA,NA,NA,""
"Bothriochloa barbinodis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa ischaemum",NA,NA,NA,NA,NA,NA,"Bothriochloa ischaemum","","","","",NA,NA,NA,NA,""
"Brachypodium","Brachypodium pinnatum_Brachypodium sylvaticum",0.7,"",NA,"",1.735,"Brachypodium pinnatum_Brachypodium sylvaticum","","","","",NA,NA,NA,NA,""
"Brachypodium distachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium phoenicoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium pinnatum","Brachypodium pinnatum",0.8,"",NA,"",2.85,"Brachypodium pinnatum","","","","",NA,NA,NA,NA,""
"Brachypodium retusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium sylvaticum","Brachypodium sylvaticum",0.6,"",NA,"",0.62,"Brachypodium sylvaticum","","","","",NA,NA,NA,NA,""
"Brassica","Brassica napus_Brassica nigra_Brassica oleracea_Brassica rapa",1.05,"",NA,"",2.25,"Brassica juncea_Brassica napus_Brassica nigra_Brassica oleracea_Brassica rapa","","","","",20.2083333333333,NA,2.93941666666667,1.818,""
"Brassica barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica carinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA,NA,NA,"Brassica juncea","","","","",NA,NA,NA,1.76666666666667,""
"Brassica napus","Brassica napus",1,"",NA,"",NA,"Brassica napus","","","","",12.5,NA,4.614,2.13,""
"Brassica napus var. napus","Brassica napus",1,"",NA,"",NA,"Brassica napus","","","","",12.5,NA,4.614,2.13,""
"Brassica nigra","Brassica nigra",1,"",NA,"",1.7,"Brassica nigra","","","","",28.25,NA,1.152,1.47,""
"Brassica oleracea","Brassica oleracea",1.2,"",NA,"",2.8,"Brassica oleracea","","","","",NA,NA,3.38333333333333,1.95666666666667,""
"Brassica rapa","Brassica rapa",1,"",NA,"",NA,"Brassica rapa","","","","",19.875,NA,2.60833333333333,1.76666666666667,""
"Brassica tournefortii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza","Briza media_Briza minor",0.304166666666667,"",NA,"",0.415,"Briza media","","","","",NA,NA,NA,NA,""
"Briza maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza media","Briza media",0.375,"",NA,"",0.23,"Briza media","","","","",NA,NA,NA,NA,""
"Briza minor","Briza minor",0.233333333333333,"",NA,"",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromopsis benekenii","Bromus benekenii",0.85,"",NA,"",NA,"Bromus benekenii","","","","",NA,NA,NA,NA,""
"Bromopsis erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromopsis inermis",NA,NA,NA,NA,NA,NA,"Bromus inermis","","","","",NA,NA,NA,NA,""
"Bromopsis ramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus","Bromus commutatus_Bromus hordeaceus_Bromus racemosus_Bromus secalinus",0.725,"",1.5,"",5.20166666666667,"Bromus arvensis_Bromus commutatus_Bromus grossus_Bromus hordeaceus_Bromus hordeaceus subsp. thominei_Bromus japonicus_Bromus racemosus_Bromus secalinus_Bromus squarrosus","","","","",NA,NA,NA,NA,""
"Bromus arvensis",NA,NA,NA,NA,NA,NA,"Bromus arvensis","","","","",NA,NA,NA,NA,""
"Bromus commutatus","Bromus commutatus",0.8,"",NA,"",NA,"Bromus commutatus","","","","",NA,NA,NA,NA,""
"Bromus commutatus subsp. decipiens","Bromus commutatus",0.8,"",NA,"",NA,"Bromus commutatus","","","","",NA,NA,NA,NA,""
"Bromus grossus",NA,NA,NA,NA,NA,NA,"Bromus grossus","","","","",NA,NA,NA,NA,""
"Bromus hordeaceus","Bromus hordeaceus",0.8,"",NA,"",1.905,"Bromus hordeaceus","","","","",NA,NA,NA,NA,""
"Bromus hordeaceus subsp. hordeaceus","Bromus hordeaceus",0.8,"",NA,"",1.905,"Bromus hordeaceus_Bromus hordeaceus subsp. thominei","","","","",NA,NA,NA,NA,""
"Bromus japonicus",NA,NA,NA,NA,NA,NA,"Bromus japonicus","","","","",NA,NA,NA,NA,""
"Bromus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus racemosus","Bromus racemosus",0.6,"",1.5,"",4.2,"Bromus racemosus","","","","",NA,NA,NA,NA,""
"Bromus secalinus","Bromus secalinus",0.7,"",NA,"",9.5,"Bromus secalinus","","","","",NA,NA,NA,NA,""
"Bromus squarrosus",NA,NA,NA,NA,NA,NA,"Bromus squarrosus","","","","",NA,NA,NA,NA,""
"Bryonia dioica","Bryonia dioica",3,"",1.5,"",13.81,"Bryonia dioica","","","","",39.75,NA,14.625,4.48333333333333,""
"Bryonia dioica subsp. dioica","Bryonia dioica",3,"",1.5,"",13.81,"Bryonia dioica","","","","",39.75,NA,14.625,4.48333333333333,""
"Bryum dichotomum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buglossoides",NA,NA,NA,NA,NA,NA,"Buglossoides arvensis","","","","",3.5,NA,NA,NA,""
"Buglossoides arvensis",NA,NA,NA,NA,NA,NA,"Buglossoides arvensis","","","","",3.5,NA,NA,NA,""
"Bunias erucago",NA,NA,NA,NA,NA,NA,"Bunias erucago","","","","",NA,NA,NA,NA,""
"Bunias orientalis","Bunias orientalis",1,"",NA,"",NA,"Bunias orientalis","","","","",11.5,NA,NA,NA,""
"Bunium","Bunium bulbocastanum",0.65,"",NA,"",NA,"Bunium bulbocastanum","","","","",NA,NA,NA,NA,""
"Bunium bulbocastanum","Bunium bulbocastanum",0.65,"",NA,"",NA,"Bunium bulbocastanum","","","","",NA,NA,NA,NA,""
"Bunium pachypodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buphthalmum salicifolium",NA,NA,NA,NA,NA,NA,"Buphthalmum salicifolium","","","","",18.5,NA,NA,NA,""
"Bupleurum rotundifolium",NA,NA,NA,NA,NA,NA,"Bupleurum rotundifolium","","","","",11.5,NA,NA,NA,""
"Bupleurum subovatum",NA,NA,NA,NA,NA,NA,"Bupleurum longifolium","","","","",NA,NA,NA,NA,""
"Bupleurum tenuissimum","Bupleurum tenuissimum",0.325,"",NA,"",NA,"Bupleurum tenuissimum","","","","",NA,NA,NA,NA,""
"Cakile maritima","Cakile maritima",0.3,"",1.5,"",30.2333333333333,"Cakile maritima","","","","",NA,NA,NA,NA,""
"Calamagrostis","Calamagrostis canescens_Calamagrostis epigejos",1.15,"",NA,"",NA,"Calamagrostis canescens_Calamagrostis epigejos","","","","",NA,NA,NA,NA,""
"Calamagrostis canescens","Calamagrostis canescens",1,"",NA,"",NA,"Calamagrostis canescens","","","","",NA,NA,NA,NA,""
"Calamagrostis epigejos","Calamagrostis epigejos",1.3,"",NA,"",NA,"Calamagrostis epigejos","","","","",NA,NA,NA,NA,""
"Calendula",NA,NA,NA,NA,NA,NA,"Calendula arvensis_Calendula officinalis","","","","",11,NA,NA,NA,""
"Calendula arvensis",NA,NA,NA,NA,NA,NA,"Calendula arvensis","","","","",18.5,NA,NA,NA,""
"Calendula officinalis",NA,NA,NA,NA,NA,NA,"Calendula officinalis","","","","",3.5,NA,NA,NA,""
"Calepina irregularis",NA,NA,NA,NA,NA,NA,"Calepina irregularis","","","","",NA,NA,NA,NA,""
"Camelina","Camelina sativa",0.683333333333333,"",NA,"",1,"Camelina alyssum_Camelina microcarpa_Camelina sativa","","","","",NA,NA,0.815222222222222,1.57111111111111,""
"Camelina alyssum",NA,NA,NA,NA,NA,NA,"Camelina alyssum","","","","",NA,NA,1.129,1.90333333333333,""
"Camelina microcarpa",NA,NA,NA,NA,NA,NA,"Camelina microcarpa","","","","",NA,NA,0.316666666666667,1.15,""
"Camelina rumelica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina sativa","Camelina sativa",0.683333333333333,"",NA,"",1,"Camelina sativa","","","","",NA,NA,1,1.66,""
"Camelina sativa var. pilosa","Camelina sativa",0.683333333333333,"",NA,"",1,"Camelina sativa","","","","",NA,NA,1,1.66,""
"Campanula","Campanula glomerata_Campanula patula_Campanula rapunculoides_Campanula rotundifolia",0.471458333333333,"",0.3,"",0.156666666666667,"Campanula glomerata_Campanula patula_Campanula persicifolia_Campanula rapunculoides_Campanula rapunculus_Campanula rotundifolia","","","","",64.5,NA,0.0891111111111111,0.884444444444444,""
"Campanula erinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula glomerata","Campanula glomerata",0.2525,"",NA,"",0.13,"Campanula glomerata","","","","",53,NA,0.170333333333333,1.22333333333333,""
"Campanula patula","Campanula patula",0.6,"",NA,"",NA,"Campanula patula","","","","",76,NA,0.025,0.5,""
"Campanula persicifolia",NA,NA,NA,NA,NA,NA,"Campanula persicifolia","","","","",53,NA,0.0683333333333333,0.72,""
"Campanula rapunculoides","Campanula rapunculoides",0.65,"",NA,"",0.27,"Campanula rapunculoides","","","","",76,NA,0.180333333333333,1.53333333333333,""
"Campanula rapunculus",NA,NA,NA,NA,NA,NA,"Campanula rapunculus","","","","",76,NA,0.03,0.41,""
"Campanula rotundifolia","Campanula rotundifolia",0.383333333333333,"",0.3,"",0.07,"Campanula rotundifolia","","","","",53,NA,0.0606666666666667,0.92,""
"Cannabis sativa",NA,NA,NA,NA,NA,NA,"Cannabis sativa","","","","",NA,NA,NA,NA,""
"Capsella bursa-pastoris","Capsella bursa-pastoris",0.215,"",NA,"",0.125,"Capsella bursa-pastoris","","","","",11.5,NA,0.13,0.95,""
"Capsella rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine","Cardamine flexuosa_Cardamine hirsuta_Cardamine pratensis",0.286666666666667,"",NA,"",0.305,"Cardamine flexuosa_Cardamine hirsuta_Cardamine pratensis","","","","",8.83333333333333,NA,0.132833333333333,1.26444444444444,""
"Cardamine flexuosa","Cardamine flexuosa",0.3,"",NA,"",0.13,"Cardamine flexuosa","","","","",11.5,NA,0.13,1.21666666666667,""
"Cardamine hirsuta","Cardamine hirsuta",0.185,"",NA,"",0.135,"Cardamine hirsuta","","","","",11.5,NA,0.135666666666667,1,""
"Cardamine pratensis","Cardamine pratensis",0.375,"",NA,"",0.65,"Cardamine pratensis","","","","",3.5,NA,NA,1.57666666666667,""
"Carduus","Carduus crispus_Carduus nutans_Carduus tenuiflorus",0.754166666666667,"",1.5,"",3.13,"Carduus acanthoides_Carduus crispus_Carduus nutans","","","","",3.5,NA,NA,NA,""
"Carduus acanthoides",NA,NA,NA,NA,NA,NA,"Carduus acanthoides","","","","",3.5,NA,NA,NA,""
"Carduus crispus","Carduus crispus",0.75,"",NA,"",3,"Carduus crispus","","","","",3.5,NA,NA,NA,""
"Carduus nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus nutans","Carduus nutans",0.8375,"",1.5,"",3.26,"Carduus nutans","","","","",3.5,NA,NA,NA,""
"Carduus pycnocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus tenuiflorus","Carduus tenuiflorus",0.675,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex","Carex caryophyllea_Carex divulsa_Carex flacca_Carex hirta_Carex muricata_Carex nigra_Carex otrubae_Carex pallescens_Carex pendula_Carex riparia_Carex spicata_Carex vulpina",0.675555555555556,"",1.1375,"",1.50875,"Carex caryophyllea_Carex divulsa_Carex flacca_Carex halleriana_Carex hirta_Carex muricata_Carex nigra_Carex otrubae_Carex pairae_Carex pallescens_Carex pendula_Carex riparia_Carex spicata_Carex vulpina","","","","",NA,NA,NA,NA,""
"Carex caryophyllea","Carex caryophyllea",0.1375,"",NA,"",1.19,"Carex caryophyllea","","","","",NA,NA,NA,NA,""
"Carex curvula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex divulsa","Carex divulsa",0.8,"",1.5,"",1.7,"Carex divulsa","","","","",NA,NA,NA,NA,""
"Carex flacca","Carex flacca",0.575,"",0.05,"",0.37,"Carex flacca","","","","",NA,NA,NA,NA,""
"Carex halleriana",NA,NA,NA,NA,NA,NA,"Carex halleriana","","","","",NA,NA,NA,NA,""
"Carex hirta","Carex hirta",0.333333333333333,"",NA,"",NA,"Carex hirta","","","","",NA,NA,NA,NA,""
"Carex muricata","Carex muricata",0.733333333333333,"",1.5,"",1.2,"Carex muricata","","","","",NA,NA,NA,NA,""
"Carex nigra","Carex nigra",0.2275,"",NA,"",0.81,"Carex nigra","","","","",NA,NA,NA,NA,""
"Carex otrubae","Carex otrubae",1,"",NA,"",1.7,"Carex otrubae","","","","",NA,NA,NA,NA,""
"Carex pairae",NA,NA,NA,NA,NA,NA,"Carex pairae","","","","",NA,NA,NA,NA,""
"Carex pallescens","Carex pallescens",0.4,"",NA,"",NA,"Carex pallescens","","","","",NA,NA,NA,NA,""
"Carex pendula","Carex pendula",1,"",NA,"",NA,"Carex pendula","","","","",NA,NA,NA,NA,""
"Carex riparia","Carex riparia",1.3,"",NA,"",2.6,"Carex riparia","","","","",NA,NA,NA,NA,""
"Carex spicata","Carex spicata",0.6,"",1.5,"",2.5,"Carex spicata","","","","",NA,NA,NA,NA,""
"Carex vulpina","Carex vulpina",1,"",NA,"",NA,"Carex vulpina","","","","",NA,NA,NA,NA,""
"Carlina corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina vulgaris","Carlina vulgaris",0.266666666666667,"",0.3,"",1.53,"Carlina vulgaris","","","","",11.5,NA,NA,NA,""
"Carpinus betulus","Carpinus betulus",22,"",NA,"",41.1,"Carpinus betulus","","","","",NA,NA,NA,NA,""
"Carthamus lanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carthamus mitissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carum carvi",NA,NA,NA,NA,NA,NA,"Carum carvi","","","","",3.5,NA,NA,NA,""
"Caryophyllaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea sativa","Castanea sativa",30,"",NA,"",4050,"Castanea sativa","","","","",NA,NA,NA,NA,""
"Catananche caerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catapodium rigidum","Catapodium rigidum",0.115,"",0.05,"",0.19,"Catapodium rigidum","","","","",NA,NA,NA,NA,""
"Caucalis platycarpos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus incertus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea","Centaurea calcitrapa_Centaurea nigra_Centaurea scabiosa_Centaurea solstitialis",0.48125,"",NA,"",4.68333333333333,"Centaurea benedicta_Centaurea calcitrapa_Centaurea jacea_Centaurea microptilon_Centaurea nigra_Centaurea nigrescens_Centaurea scabiosa_Centaurea solstitialis_Centaurea stoebe","","","","",14.5625,NA,NA,NA,""
"Centaurea argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea benedicta",NA,NA,NA,NA,NA,NA,"Centaurea benedicta","","","","",NA,NA,NA,NA,""
