"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Artemisia verlotiorum","Artemisia verlotiorum","Unspecialized","","",NA,NA,NA,NA,"","Herb","Herb","",7.5,NA,11.75,"Perennial","C3",3,1.8,0.5,"Biotic","Insect","",NA,NA
"Artemisia vulgaris","Artemisia vulgaris","Anemochorous","","",NA,NA,NA,NA,"","Herb","","",6.5,39.14426,3.75,"Perennial","C3",1.6,1.4,0.3,"Biotic","Insect","",0.0001538335,241.22
"Asclepias mellodora","Asclepias mellodora","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Asparagus","Asparagus africanus","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",2.743233358,3,0.5,"Biotic","Insect","Bee",0.03744,NA
"Asparagus africanus","Asparagus africanus","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",2.743233358,3,0.5,"Biotic","Insect","Bee",0.03744,NA
"Aspilia africana","Aspilia africana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.828822238,1.2,NA,"","","",NA,NA
"Aspilia bussei","Aspilia bussei","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Aspilia helianthoides","Aspilia helianthoides","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.609607413,NA,NA,"","","",0.00294,NA
"Aspilia helianthoides prieureana","Aspilia helianthoides","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.609607413,NA,NA,"","","",0.00294,NA
"Aspilia kotschyi","Aspilia kotschyi","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1.219214826,NA,NA,"","","",0.00694,NA
"Asplenium aethiopicum","Asplenium aethiopicum","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",0.5,NA,0.1,"","","",NA,NA
"Asplenium africanum","Asplenium africanum","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Astraea lobata","Astraea lobata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",0.914411119,1,0.609607413,"","","",NA,NA
"Asystasia buettneri","Asystasia buettneri","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.609607413,NA,0.304803706,"","","",NA,NA
"Asystasia gangetica","Asystasia gangetica","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","","",7.5,NA,NA,"Perennial","C3",2,1.1,0.304803706,"Biotic","Insect","Bee",NA,NA
"Asystasia vogeliana","Asystasia vogeliana","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,0.8,NA,"","","",NA,NA
"Axonopus compressus","Axonopus compressus","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",0.6,0.25,0,"Abiotic","Wind","Wind",0.00037835,NA
"Axonopus purpusii","Axonopus purpusii","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Azadirachta indica","Azadirachta indica","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",24.38429651,12.5,NA,"Biotic","Insect","",0.22083375,NA
"Azolla","Azolla pinnata","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,0.2,"","",0.05,0.02,NA,"Abiotic","Water","",NA,NA
"Azolla pinnata","Azolla pinnata","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,0.2,"","",0.05,0.02,NA,"Abiotic","Water","",NA,NA
"Baccharoides guineensis","Baccharoides guineensis","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.524018532,NA,0.304803706,"","","",NA,NA
"Bacopa","Bacopa crenata_Bacopa decumbens","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.762009266,0.4,0.304803706,"","","",1e-05,NA
"Bacopa crenata","Bacopa crenata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.914411119,0.4,NA,"","","",1e-05,NA
"Bacopa decumbens","Bacopa decumbens","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.609607413,NA,0.304803706,"","","",NA,NA
"Baissea multiflora","Baissea multiflora","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",7.62009266,20,3.048037064,"","","",0.060105,NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca","Balanites aegyptiaca","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",12,9,1.5,"Biotic","Insect","Insect",1.300625,NA
"Balanites wilsoniana","Balanites wilsoniana","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",11.1,NA,5.3,"Perennial","",36.57644477,37.5,NA,"Biotic","Insect","Bee",NA,NA
"Baphia nitida","Baphia nitida","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",9.144111192,10,NA,"","","",NA,NA
"Baphia pubescens","Baphia pubescens","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",NA,8.698691376,NA,"","","",NA,NA
"Barbarea verna","Barbarea verna","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.4,"","C3",0.9,0.4165,0.1,"Biotic","Insect","Insect",0.000923666666666667,NA
"Basella alba","Basella alba","","","",NA,NA,NA,NA,"","Herb","Forb","",6,NA,5,"","",NA,9.5,1,"","","",0.038366667,NA
"Basilicum polystachyon","Basilicum polystachyon","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",1.2,0.7,0.3,"","","",8.2e-05,NA
"Bergia suffruticosa","Bergia suffruticosa","","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",0.00031,NA
"Bidens cynapiifolia","Bidens cynapiifolia","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","",2,NA,0.2,"","","",NA,NA
"Bidens pilosa","Bidens pilosa","Zoochorous","","",NA,NA,1.5,0.7,"Black","Herb","","",3.25,NA,2,"Annual","C3",1.8,0.65,0,"Biotic","Insect","",0.00221014275,NA
"Biophytum umbraculum","Biophytum umbraculum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.304803706,0.15,0.1,"","","",0.00027,NA
"Blainvillea acmella","Blainvillea acmella","","","",NA,NA,NA,NA,"","Herb","Herb","",5.5,NA,NA,"Annual","",NA,NA,NA,"","","",0.0033,NA
"Blighia sapida","Blighia sapida","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",24.38429651,15,6.096074128,"Biotic","Insect","Bee",2.94,NA
"Blighia unijugata","Blighia unijugata","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",25,15.3333333333333,3,"Biotic","Insect","",NA,NA
"Blighia welwitschii","Blighia welwitschii","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",45.72055596,30,NA,"","","",NA,NA
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora","Boehmeria penduliflora","","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Boerhavia coccinea","Boerhavia coccinea","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",2,NA,0,"","","",0.002118,NA
"Boerhavia diffusa","Boerhavia diffusa","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",3,NA,2.5,"Perennial","C4",1,1.5,NA,"","","",0.002077,NA
"Boerhavia erecta","Boerhavia erecta","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",2.5,NA,1.75,"Annual","C4",1,0.666666666666667,0.2,"","","",0.00169375,NA
"Boerhavia repens","Boerhavia repens","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C4",NA,0.5,NA,"","","",NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus","Hydrochorous","","",NA,NA,NA,NA,"","Herb","","",NA,16.325,NA,"Perennial","C3",1.75,0.825,0.15,"Abiotic","Wind","Wind",0.0025496888,123.6
"Bombax buonopozense","Bombax buonopozense","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",36.57644477,35,NA,"","","",NA,NA
"Bonnaya antipoda","Bonnaya antipoda","","","",NA,NA,NA,NA,"","Herb","Forb","",2.15,NA,NA,"Annual","",0.3,0.3,NA,"","","",NA,NA
"Borassus flabellifer","Borassus flabellifer","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",20,18.25,13,"Biotic","Insect","Bee",20,NA
"Boswellia dalzielii","Boswellia dalzielii","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",12.19214826,NA,3.657644477,"","","",0.01074,NA
"Bothriospermum zeylanicum","Bothriospermum zeylanicum","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","",0.3,NA,0.1,"","","",NA,NA
"Bouffordia dichotoma","Bouffordia dichotoma","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Brachiaria nana","Brachiaria nana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Brachiaria umbellata","Brachiaria umbellata","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Brassica juncea","Brassica juncea","","","Yellow",1,0.7,NA,NA,"","Herb","","",3.75,NA,6.5,"Annual","C3",2,0.7125,0.3,"Biotic","Insect","",0.00226308333333333,NA
"Brassica rapa","Brassica rapa","Unspecialized","","",0.5,0.4,NA,NA,"","Herb","","",6.25,33.15667,7.5,"","C3",1.5,0.673583333333333,0.2,"Biotic","Insect","Bee",0.002154515625,236.62
"Breynia fruticosa","Breynia fruticosa","","","",NA,NA,NA,NA,"","Tree","","",5,NA,2.65,"Perennial","",3,2.25,1,"","","",NA,NA
"Breynia retusa","Breynia retusa","","","",NA,NA,NA,NA,"","Shrub","","",2,NA,1.1,"","",3,0.5,NA,"","","",NA,NA
"Bridelia ferruginea","Bridelia ferruginea","","","",NA,NA,NA,NA,"","Shrub","Tree","",NA,NA,NA,"Perennial","",6.096074128,9,NA,"","","",0.053645,NA
"Briza minor","Briza minor","Anemochorous","","",0.35,0.25,NA,NA,"","Herb","","Panicle",NA,NA,0.6,"Annual","C3",0.75,0.12,0.1,"Abiotic","Wind","",0.000319,NA
"Bromus catharticus","Bromus catharticus","Unspecialized","","",NA,NA,NA,NA,"","Herb","","Panicle",NA,NA,0.75,"","C3",1.2,0.855,0.3,"Abiotic","Wind","Wind",0.00858902,NA
"Bulbostylis","Bulbostylis abortiva_Bulbostylis barbata_Bulbostylis cioniana_Bulbostylis hispidula_Bulbostylis pilosa","","","",NA,NA,NA,NA,"","Herb","Graminoid_Herb","",NA,NA,NA,"Annual_Perennial","C4",0.495,0.291666666666667,0.025,"","","",0.000131955666666667,NA
"Bulbostylis abortiva","Bulbostylis abortiva","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",0.000106667,NA
"Bulbostylis barbata","Bulbostylis barbata","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",0.5,NA,0,"","","",4.67e-05,NA
"Bulbostylis cioniana","Bulbostylis cioniana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,0.15,NA,"","","",NA,NA
"Bulbostylis hispidula","Bulbostylis hispidula","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.49,0.325,0.05,"","","",0.0002425,NA
"Bulbostylis hispidula hispidula","Bulbostylis hispidula","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.49,0.325,0.05,"","","",0.0002425,NA
"Bulbostylis hispidula senegalensis","Bulbostylis hispidula","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.49,0.325,0.05,"","","",0.0002425,NA
"Bulbostylis pilosa","Bulbostylis pilosa","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","",NA,0.4,NA,"","","",NA,NA
"Burnatia enneandra","Burnatia enneandra","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1,0.304803706,NA,"","","",NA,NA
"Cajanus cajan","Cajanus cajan","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",4,3.5,0.5,"Biotic","Insect","",0.0775842855,NA
"Cajanus scarabaeoides","Cajanus scarabaeoides","","","",NA,NA,NA,NA,"","Herb","Shrub","",NA,NA,NA,"Perennial","C3",0.5,NA,0,"","","",0.01632,238.54740625
"Caladium bicolor","Caladium bicolor","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,0.5,NA,"","","",NA,NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium","Calopogonium mucunoides","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",1,5,0,"Biotic","Insect","Insect",0.01137,NA
"Calopogonium mucunoides","Calopogonium mucunoides","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",1,5,0,"Biotic","Insect","Insect",0.01137,NA
"Calotropis procera","Calotropis procera","Anemochorous","","",NA,NA,NA,NA,"","Shrub","","Umbel",NA,NA,NA,"Perennial","C3",5,4,1,"Biotic","Insect","Insect",0.010136,NA
"Calycobolus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus heudelotii","Calycobolus heudelotii","Anemochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","C3",NA,NA,NA,"","","",NA,NA
"Camonea umbellata","Camonea umbellata","","","",NA,NA,NA,NA,"","Herb","Forb","",8.5,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.044036667,NA
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica","Canna indica","Unspecialized","","Yellow",1.8,1,NA,NA,"","Herb","","",20,NA,15,"Perennial","C3",2,1.8,0.8,"Biotic","Insect","",0.189655,NA
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana","Cantinoa americana","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",2,1,0.5,"","","",0.000435,NA
"Caperonia fistulosa","Caperonia fistulosa","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.4,0.7,0.1,"","","",NA,NA
"Caperonia palustris","Caperonia palustris","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",0.914411119,NA,NA,"","","",0.00629,NA
"Capsicum annuum","Capsicum annuum","","","",NA,NA,NA,NA,"","","","",8.5,NA,2.75,"","C3",2,0.7,0.2,"Biotic","Insect","Insect",0.004335,147.2
"Capsicum frutescens","Capsicum frutescens","Zoochorous","Zoochorous","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",2,1.1,0.25,"Biotic","Insect","Insect",0.0030925,NA
"Cardamine hirsuta","Cardamine hirsuta","Unspecialized","","White",0.35,0.25,NA,NA,"","Herb","","Cyme",NA,3.37,NA,"Annual","C3",0.4,0.179333333333333,0.05,"Biotic","","",0.000108633333333333,277.83
"Cardiospermum grandiflorum","Cardiospermum grandiflorum","","","White",1,0.6,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",10,NA,0.3,"","","",NA,NA
"Cardiospermum halicacabum","Cardiospermum halicacabum","Anemochorous","","White",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","C3",6,3,0.4,"","","",0.03902,NA
"Cardiospermum microcarpum","Cardiospermum microcarpum","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",2,NA,0.4,"","","",0.044,NA
"Carex boryana","Carex boryana","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya","Carica papaya","Zoochorous","","White",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",10,7.7,6,"","","",0.039657857,173.6
"Caroxylon imbricatum","Caroxylon imbricatum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C4",1.219214826,1,0.3,"","","",NA,NA
"Carpolobia lutea","Carpolobia lutea","","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"Perennial","",4.572055596,6,NA,"","","",NA,NA
"Cassia sieberiana","Cassia sieberiana","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",15.24018532,15,NA,"Biotic","Insect","Insect",0.129485,NA
"Catharanthus","Catharanthus roseus","","Anthropochorous","",NA,NA,NA,NA,"","Herb","","",3.5,NA,1.8,"Perennial","C3",0.8,0.65,0.3,"Biotic","Insect","Butterfly",0.001425,NA
"Catharanthus roseus","Catharanthus roseus","","Anthropochorous","",NA,NA,NA,NA,"","Herb","","",3.5,NA,1.8,"Perennial","C3",0.8,0.65,0.3,"Biotic","Insect","Butterfly",0.001425,NA
"Cecropia obtusa","Cecropia obtusa","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",25,10,NA,"","","",0.000125,NA
"Cecropia peltata","Cecropia peltata","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",25,20,NA,"","","",0.00058,NA
"Ceiba pentandra","Ceiba pentandra","Anemochorous","","",2,1.5,NA,NA,"","Tree","","",10.5,NA,NA,"Perennial","C3",60.96074128,35.25,15,"Biotic","","",0.0340064285,NA
"Celosia","Celosia argentea_Celosia isertii_Celosia trigyna","Anemochorous","","",NA,NA,NA,NA,"","Herb","Forb_Herb","",NA,NA,NA,"Annual","C3",2.524018532,0.85,0.2762001525,"Biotic","Insect","Insect",0.0004205555,NA
"Celosia argentea","Celosia argentea","Anemochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",2,0.7,0.4,"","","",0.000671111,NA
"Celosia isertii","Celosia isertii","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Celosia trigyna","Celosia trigyna","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",3.048037064,1,0.152400305,"Biotic","Insect","Insect",0.00017,NA
"Celtis mildbraedii","Celtis mildbraedii","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",40,32.5,3,"","","",0.049,NA
"Celtis zenkeri","Celtis zenkeri","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",27.43233358,30,NA,"","","",NA,NA
"Cenchrus biflorus","Cenchrus biflorus","Zoochorous","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",0.89,0.65,0.1,"Abiotic","Wind","Wind",0.002197667,NA
"Cenchrus cafer","Cenchrus cafer","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Cenchrus ciliaris","Cenchrus ciliaris","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",1.5,0.955,0,"","","",0.00124183333333333,NA
"Cenchrus clandestinus","Cenchrus clandestinus","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","","Spike",NA,NA,0.2,"Perennial","C4",1.2,NA,0.02,"Abiotic","Wind","",0.00218,NA
"Cenchrus echinatus","Cenchrus echinatus","Zoochorous","Zoochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C4",0.9,0.4,0,"","","",0.0172,NA
"Cenchrus pedicellatus","Cenchrus pedicellatus","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",3,NA,0,"","","",0.0011875,NA
"Cenchrus purpureus","Cenchrus purpureus","Anemochorous","Anemochorous","",0.7,0.5,NA,NA,"","Herb","","Panicle",NA,NA,2.5,"Perennial","C4",8,3.33333333333333,1,"Abiotic","Wind","Wind",0.00043875,NA
"Cenchrus ramosus","Cenchrus ramosus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",1.2,NA,NA,"","","",NA,NA
"Cenchrus setosus setosus","Cenchrus setosus","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",1.2,NA,NA,"","","",1e-05,NA
"Cenchrus violaceus","Cenchrus violaceus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1.2,NA,0.3,"","","",0.001958571,NA
"Centella asiatica","Centella asiatica","","","",NA,NA,0.25,0.15,"","Herb","","",1.9,NA,1.3,"Perennial","",0.4,0.25,0.05,"Biotic","Insect","Insect",0.001501,NA
"Centotheca lappacea","Centotheca lappacea","Zoochorous","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","",1.2,NA,0.3,"","","",NA,NA
"Centrosema","Centrosema brasilianum_Centrosema plumieri_Centrosema pubescens_Centrosema virginianum","Unspecialized","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.04469,NA
"Centrosema brasilianum","Centrosema brasilianum","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.01812,NA
"Centrosema plumieri","Centrosema plumieri","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.08693,NA
"Centrosema pubescens","Centrosema pubescens","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.02902,NA
"Centrosema virginianum","Centrosema virginianum","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Cephalanthus tetrandrus","Cephalanthus occidentalis","","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"Perennial","",7,9.77,1,"","","",0.003141875,NA
"Cerastium glomeratum","Cerastium glomeratum","","","White",0.5,0.4,NA,NA,"","Herb","","",2,1.76667,0.8,"Annual","C3",0.7,0.165,0.02,"Biotic","Insect","Insect",5.7225e-05,217.5
"Ceratophyllum demersum","Ceratophyllum demersum","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"","Herb","","",1.75,1.19133,0.03,"Perennial","C3",1.5,0.9,0.4,"Abiotic","Water","Water",0.0021245,254.83
"Ceratopteris cornuta","Ceratopteris cornuta","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Ceratopteris thalictroides","Ceratopteris thalictroides","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",0.4,0.7,0.25,"","","",NA,NA
"Ceropegia fusiformis","Ceropegia fusiformis","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Chamaecrista absus","Chamaecrista absus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",1.2,1,0.1,"Biotic","Insect","Insect",0.019403333,NA
"Chamaecrista diphylla","Chamaecrista diphylla","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.00258,NA
"Chamaecrista kirkii","Chamaecrista kirkii","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",1.524018532,1.2,0.2,"","","",NA,NA
"Chamaecrista mimosoides","Chamaecrista mimosoides","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1.6,0.7,0.1,"Biotic","Insect","Insect",0.0027383335,NA
"Chamaecrista nigricans","Chamaecrista nigricans","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",1.524018532,NA,0,"","","",0.003605,NA
"Chamaecrista rotundifolia","Chamaecrista rotundifolia","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",0.2,NA,NA,"","","",NA,NA
"Chasmanthera dependens","Chasmanthera dependens","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",NA,5,NA,"","","",NA,NA
"Chassalia kolly","Chassalia kolly","Zoochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",3.048037064,2.5,0.914411119,"","","",NA,NA
"Chenopodium album","Chenopodium album","Unspecialized","","",NA,NA,NA,NA,"","Herb","","Panicle",NA,23.9,2.5,"Annual","C3",3,0.7666,0.1,"Abiotic","Wind","Wind",0.0139754833333333,222.14
"Chloris","Chloris barbata_Chloris gayana_Chloris pilosa_Chloris pycnothrix_Chloris virgata","Anemochorous","Anemochorous","",0.3,0.25,NA,NA,"","Herb","Herb","Spike",NA,NA,0.4,"Annual_Perennial","C4",1.04,0.67888888888889,0.105,"Abiotic","Wind","",0.0002377125,NA
"Chloris barbata","Chloris barbata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C4",1,0.5,0,"","","",0.00019,NA
"Chloris gayana","Chloris gayana","","","",0.3,0.25,NA,NA,"","Herb","","Spike",NA,NA,0.4,"Perennial","C4",1.5,1.03666666666667,0,"Abiotic","Wind","",0.000264168,NA
