"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Olax subscorpioidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia herbacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oldenlandia lancifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olyra latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Operculina turpethum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophioglossum reticulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophiopogon japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oplismenus burmanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oplismenus hirtellus",NA,NA,NA,NA,NA,NA,NA,"Oplismenus hirtellus","2","Local non-specific dispersal",0.3,1.28
"Ormocarpum sennoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryza barthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryza longistaminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryza sativa",NA,NA,NA,NA,NA,NA,NA,"Oryza sativa","2","Local non-specific dispersal",1.105,25.7
"Ouret lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalis barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalis corniculata","Oxalis corniculata",7.1,4.1,6,6.2,0.1,7.8,"Oxalis corniculata","1","Local non-specific dispersal",0.168,0.2028
"Oxalis debilis",NA,NA,NA,NA,NA,NA,NA,"Oxalis debilis","1","Local non-specific dispersal",0.2,NA
"Oxalis latifolia","Oxalis latifolia",6.5,4.5,6,7,0,8,"Oxalis latifolia","1","Local non-specific dispersal",0.25,NA
"Oxalis tetraphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxyanthus formosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxyanthus racemosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxyanthus unilocularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxygonum sinuatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paederia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paederia farinosa farinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paederia foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palhinhaea cernua",NA,NA,NA,NA,NA,NA,NA,"Lycopodiella cernua","5","Anemochory",NA,NA
"Palisota hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pancratium trianthum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pandiaka angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum","Panicum repens",8,6,5.3,7,1.7,9.3,"Panicum repens","2","Local non-specific dispersal",0.35,0.645
"Panicum brevifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum luridum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum pansum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum repens","Panicum repens",8,6,5.3,7,1.7,9.3,"Panicum repens","2","Local non-specific dispersal",0.35,0.645
"Panicum subalbidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum sumatrense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum trichocladum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum voeltzkowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paramollugo nudicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parinari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkia biglobosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkinsonia aculeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parthenium hysterophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum","Paspalum dilatatum_Paspalum distichum_Paspalum vaginatum",7.35,8.35,5.85,6.35,0,8.4,"Paspalum dilatatum_Paspalum distichum_Paspalum vaginatum","2","Local non-specific dispersal",0.504166666666667,1.16013333333333
"Paspalum conjugatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum dilatatum","Paspalum dilatatum",7.7,8,5.7,6,0,8.5,"Paspalum dilatatum","2","Local non-specific dispersal",0.9,1.4
"Paspalum distichum","Paspalum distichum",7,8.7,6,6.7,0,8.5,"Paspalum distichum","2","Local non-specific dispersal",0.3125,1.45
"Paspalum melanospermum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum millegranum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum notatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum nutans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum plicatulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum scrobiculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum urvillei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,8.2,"Paspalum vaginatum","2","Local non-specific dispersal",0.3,0.6304
"Paspalum virgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Passiflora coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Passiflora edulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Passiflora foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Passiflora suberosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Passovia pyrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paullinia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pavonia senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pellaea doniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pentas lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pentodon pentandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peperomia pellucida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pergularia daemia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perotis indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perotis patens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persea americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persicaria","Persicaria decipiens",7.3,8.3,6.3,7.7,2,9.3,"Persicaria decipiens","2","Local non-specific dispersal",0.45,1.07
"Persicaria chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persicaria decipiens","Persicaria decipiens",7.3,8.3,6.3,7.7,2,9.3,"Persicaria decipiens","2","Local non-specific dispersal",0.45,1.07
"Persicaria ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persicaria senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris arundinacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phaseolus vulgaris",NA,NA,NA,NA,NA,NA,NA,"Phaseolus vulgaris","2","Local non-specific dispersal",1.69,351
"Phaulopsis ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phaulopsis imbricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phaulopsis verticillaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philenoptera cyanescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phragmites australis","Phragmites australis",7.2,9.7,6.1,6.9,1.6,NA,"Phragmites australis","5","Anemochory",2.45833333333333,0.111428571428571
"Phyllanthus",NA,NA,NA,NA,NA,NA,NA,"Phyllanthus tenellus","3","Myrmecochory",0.335,NA
"Phyllanthus amarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus maderaspatensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus muellerianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus niruri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus niruroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus odontadenius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus pentandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus reticulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus sublanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllanthus tenellus",NA,NA,NA,NA,NA,NA,NA,"Phyllanthus tenellus","3","Myrmecochory",0.335,NA
"Phyllanthus urinaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllocosmus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physalis angulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physalis lagascae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phytolacca americana","Phytolacca americana",5.8,5.5,6,6.5,0,NA,"Phytolacca americana","2","Local non-specific dispersal",2.066,6.3
"Pigea enneasperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pilea microphylla","Pilea microphylla",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"Piliostigma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piliostigma reticulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piliostigma thonningii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piper dilatatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piper umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piriqueta cistoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piriqueta viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pistia stratiotes",NA,NA,NA,NA,NA,NA,NA,"Pistia stratiotes","","Hydrochory",0.1475,NA
"Pithecellobium dulce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pityrogramma calomelanos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plantago lanceolata","Plantago lanceolata",7.1,4.5,4.8,5.9,0.3,5.3,"Plantago lanceolata","1","Local non-specific dispersal",0.21325,1.52227595907017
"Plantago major","Plantago major",7.3,NA,5.9,5.8,0.5,NA,"Plantago major","1","Local non-specific dispersal",0.259,0.235946031761904
"Platostoma africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleioceras barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleurolobus gangeticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleurolobus salicifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poa annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polhillides velutina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polycarpaea corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polycarpaea eriantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polycarpaea eriantha effusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygala arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygala multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygala paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygala petitiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyscias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyscias fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polytrichum formosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pontederia azurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pontederia crassipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pontederia natans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Porophyllum ruderale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portulaca grandiflora",NA,NA,NA,NA,NA,NA,NA,"Portulaca grandiflora","3","Myrmecochory",0.14,0.115
"Portulaca oleracea","Portulaca oleracea",7.5,3.7,7,6.9,0.3,NA,"Portulaca oleracea","3","Myrmecochory",0.202916666666667,0.251422222222222
"Portulaca quadrifida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potamogeton octandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potentilla indica","Potentilla indica",5.5,5.5,6.5,6,0,7,"Potentilla indica","1","Local non-specific dispersal",0.225,0.323666666666667
"Pouzolzia guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premna angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premna quadrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Priva lappulacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prosopis africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prunella vulgaris","Prunella vulgaris",6.8,5.6,NA,5.8,0.1,NA,"Prunella vulgaris","1","Local non-specific dispersal",0.194666666666667,0.789835714285714
"Pseudoconyza viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psidium cattleianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psidium guajava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psychotria calva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psychotria schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteridium aquilinum","Pteridium aquilinum",6.4,5.2,3,3.4,0,NA,"Pteridium aquilinum","5","Anemochory",1.245,0.001
"Pteris atrovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteris hamulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterocarpus erinaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterocarpus indicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterolepis glomerata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulicaria undulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pupalia lappacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyrenacantha macrocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raphanus raphanistrum","Raphanus raphanistrum",7.4,4.4,NA,5.1,0,NA,"Raphanus raphanistrum","2","Local non-specific dispersal",0.474,27.5089943333333
"Rauvolfia vomitoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reissantia indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhamphicarpa fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia malacophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia nyasica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchosia viscosa breviracemosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchospora corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchospora holoschoenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchospora marisculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhynchospora pura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richardia brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richardia scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricinodendron heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricinus communis",NA,NA,NA,NA,NA,NA,NA,"Ricinus communis","3","Myrmecochory",3.29,325.8
"Rinorea welwitschii welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rolandra fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rorippa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rotheca violacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rothia hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rothmannia longiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rothmannia munsae megalostigma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rottboellia cochinchinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rourea coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus alceifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus apetalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus fraxinifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus rosifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus tonkinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruellia blechum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruellia togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rugoloa pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex","Rumex acetosella_Rumex crispus",7.7,3.7,4.05,6,0.4,NA,"Rumex acetosella_Rumex crispus","1_2","Local non-specific dispersal",0.476708333333333,1.02138547619047
"Rumex abyssinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella angiocarpus","Rumex acetosella",8,3.7,2,NA,0,NA,"Rumex acetosella","1","Local non-specific dispersal",0.218,0.454356666666666
"Rumex brownii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex crispus","Rumex crispus",7.4,NA,6.1,6,0.8,NA,"Rumex crispus","2","Local non-specific dispersal",0.735416666666667,1.58841428571428
"Ruthalicia eglandulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruthalicia longipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rytigynia canthioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rytigynia umbellulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sabicea calycina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sabicea discolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sabicea vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saccharum officinarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacciolepis africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacciolepis cymbiandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacciolepis indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacciolepis striata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sagittaria guayanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salacia nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salacia pallescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salomonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvadora persica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia rosmarinus","Rosmarinus officinalis",8.5,2,3,7,0,8.3,"Rosmarinus officinalis","3","Myrmecochory",2.57707272727273,1.075
"Salvinia",NA,NA,NA,NA,NA,NA,NA,"Salvinia auriculata","6","Epizoochory",NA,NA
"Salvinia auriculata",NA,NA,NA,NA,NA,NA,NA,"Salvinia auriculata","6","Epizoochory",NA,NA
"Salvinia nymphellula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samanea saman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sauvagesia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scadoxus multiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scepocarpus keayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schinus terebinthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schizachyrium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schizachyrium exile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schizachyrium platyphyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schoenoplectiella mucronata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schoenoplectiella senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schwenckia americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleria boivinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleria cyperina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleria depressa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleria gaertneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleria pergracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleromitrion diffusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scleromitrion tenelliflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scoparia dulcis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Secamone afzelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Secamone punctulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sechium edule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Securidaca longepedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegalia pentagona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senna","Senna obtusifolia",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"Senna alata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senna hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senna obtusifolia","Senna obtusifolia",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"Senna occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senna siamea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senna tora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesamum indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesamum radiatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesamum sesamoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania bispinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania herbacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania microphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania pachycarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania rostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania sericea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesbania sesban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
